ruta,carpeta_origen,comuna,nombre,tipo_archivo,bytes,sha256,paginas,chars_total,paginas_texto,paginas_escaneadas,paginas_vacias,veredicto
Ordenanzas ordenadas\OCR ok\las_condes_dec.1022-D.O-18feb2017.pdf,ordenadas,las_condes_dec.1022-d.o-18feb2017,las_condes_dec.1022-D.O-18feb2017.pdf,PDF,165421,552612a945d825534a87ca349c5885199531fd35ca80ca7cbcfda5fe7b275f8f,1,2706,1,0,0,TEXTO
Ordenanzas Descargadas\600-1200\las_condes_dec.alcaldicio.966.21feb2014.pdf,descargadas,las_condes_dec.alcaldicio.966.21feb2014,las_condes_dec.alcaldicio.966.21feb2014.pdf,PDF,1460963,13034319795dc90827ef290eae627af193b797054c16ce9a32a997e7908731d0,24,0,0,24,0,ESCANEADO
Ordenanzas ordenadas\las_condes_dec.alcaldicio.966.21feb2014.pdf,ordenadas,las_condes_dec.alcaldicio.966.21feb2014,las_condes_dec.alcaldicio.966.21feb2014.pdf,PDF,1460963,13034319795dc90827ef290eae627af193b797054c16ce9a32a997e7908731d0,24,0,0,24,0,ESCANEADO
Ordenanzas Descargadas\600-1200\las_condes_dec.alcaldicio_n_1071_5feb2008.pdf,descargadas,las_condes_dec.alcaldicio_n,las_condes_dec.alcaldicio_n_1071_5feb2008.pdf,PDF,42228,53fe964bc9606b80fe07d9cd5c82af3a0a8eeb1293897aa58b95aeec69157e9c,2,5503,2,0,0,TEXTO
Ordenanzas ordenadas\OCR ok\las_condes_dec.alcaldicio_n_1071_5feb2008.pdf,ordenadas,las_condes_dec.alcaldicio_n,las_condes_dec.alcaldicio_n_1071_5feb2008.pdf,PDF,42228,53fe964bc9606b80fe07d9cd5c82af3a0a8eeb1293897aa58b95aeec69157e9c,2,5503,2,0,0,TEXTO
Ordenanzas Descargadas\600-1200\las_condes_dec.alcaldicio_n_2952_30jul2004.pdf,descargadas,las_condes_dec.alcaldicio_n,las_condes_dec.alcaldicio_n_2952_30jul2004.pdf,PDF,42046,6018ad8a2f12a22efe16efb62bc39ad870b4674e82ae462a79c9ccfa8415b394,2,5992,2,0,0,TEXTO
Ordenanzas ordenadas\OCR ok\las_condes_dec.alcaldicio_n_2952_30jul2004.pdf,ordenadas,las_condes_dec.alcaldicio_n,las_condes_dec.alcaldicio_n_2952_30jul2004.pdf,PDF,42046,6018ad8a2f12a22efe16efb62bc39ad870b4674e82ae462a79c9ccfa8415b394,2,5992,2,0,0,TEXTO
Ordenanzas Descargadas\600-1200\las_condes_dec.alcaldicio_n_2974_5jul2007.pdf,descargadas,las_condes_dec.alcaldicio_n,las_condes_dec.alcaldicio_n_2974_5jul2007.pdf,PDF,39254,24cdfeb13de4e6f7c240a8d8bcbafea68bda6c18369e3438abf8c86d6c2cea83,1,2839,1,0,0,TEXTO
Ordenanzas ordenadas\OCR ok\las_condes_dec.alcaldicio_n_2974_5jul2007.pdf,ordenadas,las_condes_dec.alcaldicio_n,las_condes_dec.alcaldicio_n_2974_5jul2007.pdf,PDF,39254,24cdfeb13de4e6f7c240a8d8bcbafea68bda6c18369e3438abf8c86d6c2cea83,1,2839,1,0,0,TEXTO
Ordenanzas Descargadas\600-1200\las_condes_dec.alcaldicio_n_3193_25_jul2007.pdf,descargadas,las_condes_dec.alcaldicio_n,las_condes_dec.alcaldicio_n_3193_25_jul2007.pdf,PDF,47241,9e5218bfce4dd435c73f2e148c74732b93e4ec6feb91569b52a1637c0861c4de,4,9053,4,0,0,TEXTO
Ordenanzas ordenadas\OCR ok\las_condes_dec.alcaldicio_n_3193_25_jul2007.pdf,ordenadas,las_condes_dec.alcaldicio_n,las_condes_dec.alcaldicio_n_3193_25_jul2007.pdf,PDF,47241,9e5218bfce4dd435c73f2e148c74732b93e4ec6feb91569b52a1637c0861c4de,4,9053,4,0,0,TEXTO
Ordenanzas Descargadas\600-1200\las_condes_dec.alcaldicio_n_3360_11ago2010.pdf,descargadas,las_condes_dec.alcaldicio_n,las_condes_dec.alcaldicio_n_3360_11ago2010.pdf,PDF,1792269,46fe252899f76658ea3df4b5bd443c001fb1c8b0af98543f430ca6f25dc03eac,7,5316,3,3,1,MIXTO
Ordenanzas ordenadas\OCR ok\las_condes_dec.alcaldicio_n_3360_11ago2010.pdf,ordenadas,las_condes_dec.alcaldicio_n,las_condes_dec.alcaldicio_n_3360_11ago2010.pdf,PDF,1792269,46fe252899f76658ea3df4b5bd443c001fb1c8b0af98543f430ca6f25dc03eac,7,5316,3,3,1,MIXTO
Ordenanzas Descargadas\600-1200\las_condes_dec.alcaldicio_n_3904_13_sep2007.pdf,descargadas,las_condes_dec.alcaldicio_n,las_condes_dec.alcaldicio_n_3904_13_sep2007.pdf,PDF,43512,c393665e2a1319eb99dc11cddd0d83fa0eea268126c827d91b7e7c016b85ebf2,3,7036,3,0,0,TEXTO
Ordenanzas ordenadas\OCR ok\las_condes_dec.alcaldicio_n_3904_13_sep2007.pdf,ordenadas,las_condes_dec.alcaldicio_n,las_condes_dec.alcaldicio_n_3904_13_sep2007.pdf,PDF,43512,c393665e2a1319eb99dc11cddd0d83fa0eea268126c827d91b7e7c016b85ebf2,3,7036,3,0,0,TEXTO
Ordenanzas Descargadas\600-1200\las_condes_dec.alcaldicio_n_4480_28dic2004.pdf,descargadas,las_condes_dec.alcaldicio_n,las_condes_dec.alcaldicio_n_4480_28dic2004.pdf,PDF,43453,8614a57114d2d7ec0c338f61e3dfa3807c6a4af76fc69f1605893ac46476424d,3,5109,2,0,1,TEXTO
Ordenanzas ordenadas\OCR ok\las_condes_dec.alcaldicio_n_4480_28dic2004.pdf,ordenadas,las_condes_dec.alcaldicio_n,las_condes_dec.alcaldicio_n_4480_28dic2004.pdf,PDF,43453,8614a57114d2d7ec0c338f61e3dfa3807c6a4af76fc69f1605893ac46476424d,3,5109,2,0,1,TEXTO
Ordenanzas Descargadas\600-1200\las_condes_dec.alcaldicoi_n_3905_13sep2007.pdf,descargadas,las_condes_dec.alcaldicoi_n,las_condes_dec.alcaldicoi_n_3905_13sep2007.pdf,PDF,43811,3cc177d0dfae6203939346a28dbe98c9d3e00ce8cc4cf8d41a6ae7e755fed629,3,7478,3,0,0,TEXTO
Ordenanzas ordenadas\OCR ok\las_condes_dec.alcaldicoi_n_3905_13sep2007.pdf,ordenadas,las_condes_dec.alcaldicoi_n,las_condes_dec.alcaldicoi_n_3905_13sep2007.pdf,PDF,43811,3cc177d0dfae6203939346a28dbe98c9d3e00ce8cc4cf8d41a6ae7e755fed629,3,7478,3,0,0,TEXTO
Ordenanzas Descargadas\600-1200\las_condes_DEC.DO-1132-24abr2016.pdf,descargadas,las_condes_dec.do-1132-24abr2016,las_condes_DEC.DO-1132-24abr2016.pdf,PDF,235555,ebe8ea524b9d46d609ff4410dcd324f40094a1e561d71f443d990fe85b03b0a7,3,17946,3,0,0,TEXTO
Ordenanzas ordenadas\OCR ok\las_condes_DEC.DO-1132-24abr2016.pdf,ordenadas,las_condes_dec.do-1132-24abr2016,las_condes_DEC.DO-1132-24abr2016.pdf,PDF,235555,ebe8ea524b9d46d609ff4410dcd324f40094a1e561d71f443d990fe85b03b0a7,3,17946,3,0,0,TEXTO
Ordenanzas Descargadas\600-1200\las_condes_LAMINA-1-EDIFICACION-28Febrero2010.pdf,descargadas,las_condes_lamina-1-edificacion-28febrero2010,las_condes_LAMINA-1-EDIFICACION-28Febrero2010.pdf,PDF,12483614,2e4d8e6135dd0a0eb8719c0aecfa781bd483d9599d7dc87b8ffec5094bc74a7e,1,7158,1,0,0,TEXTO
Ordenanzas Descargadas\600-1200\las_condes_LAMINA-2-USO-DE-SUELO-28Febrero2010.pdf,descargadas,las_condes_lamina-2-uso-de-suelo-28febrero2010,las_condes_LAMINA-2-USO-DE-SUELO-28Febrero2010.pdf,PDF,11845025,18e867cfb862a6035fe9146eabab3dd56eeaa0786eead6232cc7b74f0a6ab112,1,7158,1,0,0,TEXTO
Ordenanzas Descargadas\600-1200\las_condes_LAMINA-3-VIALIDAD-28Febrero2010.pdf,descargadas,las_condes_lamina-3-vialidad-28febrero2010,las_condes_LAMINA-3-VIALIDAD-28Febrero2010.pdf,PDF,13362043,d041eae26645b8ce8fb09feef405ce9eda49e0f0b7cc2809677a6286c6a60c04,1,7362,1,0,0,TEXTO
Ordenanzas Descargadas\600-1200\las_condes_Mem.Explicativa_dec.966-2014.pdf,descargadas,las_condes_mem.explicativa_dec.966-2014,las_condes_Mem.Explicativa_dec.966-2014.pdf,PDF,732532,d037db4b628dcfb0ffdc0def0dc830204fe3aa41dff6d683386a074ffebe7111,14,0,0,14,0,ESCANEADO
Ordenanzas ordenadas\las_condes_Mem.Explicativa_dec.966-2014.pdf,ordenadas,las_condes_mem.explicativa_dec.966-2014,las_condes_Mem.Explicativa_dec.966-2014.pdf,PDF,732532,d037db4b628dcfb0ffdc0def0dc830204fe3aa41dff6d683386a074ffebe7111,14,0,0,14,0,ESCANEADO
Ordenanzas Descargadas\600-1200\las_condes_MEMORIA-MODIFICACION-7-PRC.pdf,descargadas,las_condes_memoria-modificacion-7-prc,las_condes_MEMORIA-MODIFICACION-7-PRC.pdf,PDF,1567423,961c70a437c5c0941b765398fe595cda44d0fa2c051e4cba5e9c2c23480038e4,4,0,0,4,0,ESCANEADO
Ordenanzas ordenadas\las_condes_MEMORIA-MODIFICACION-7-PRC.pdf,ordenadas,las_condes_memoria-modificacion-7-prc,las_condes_MEMORIA-MODIFICACION-7-PRC.pdf,PDF,1567423,961c70a437c5c0941b765398fe595cda44d0fa2c051e4cba5e9c2c23480038e4,4,0,0,4,0,ESCANEADO
Ordenanzas Descargadas\600-1200\las_condes_Memoria_Explicativa_Mod_11_v_corregida_firmada.pdf,descargadas,las_condes_memoria_explicativa_mod,las_condes_Memoria_Explicativa_Mod_11_v_corregida_firmada.pdf,PDF,704908,682f139bec75cf69ce2a8415c2c9920cc1a9ba335d416896c838ad8943e91c2c,54,153988,53,0,1,TEXTO
Ordenanzas Descargadas\600-1200\las_condes_n_8_30MAY1995_ORD.PLAN_REG.pdf,descargadas,las_condes_n,las_condes_n_8_30MAY1995_ORD.PLAN_REG.pdf,PDF,12987010,b837238d0a553ce90d4a83112e4feba0bfada22b5ea7445ce2c5f24e1e940b1a,64,1007,1,63,0,MIXTO
Ordenanzas ordenadas\las_condes_n_8_30MAY1995_ORD.PLAN_REG.pdf,ordenadas,las_condes_n,las_condes_n_8_30MAY1995_ORD.PLAN_REG.pdf,PDF,12987010,b837238d0a553ce90d4a83112e4feba0bfada22b5ea7445ce2c5f24e1e940b1a,64,1007,1,63,0,MIXTO
Ordenanzas ordenadas\OCR ok\las_condes_norma_20dec.4675.pdf,ordenadas,las_condes_norma,las_condes_norma_20dec.4675.pdf,PDF,1067842,9090840e745176441ff4978bdbb7ac40c73111c2f31b9712348f94fc32f4c0d6,9,13644,8,1,0,MIXTO
Ordenanzas Descargadas\600-1200\las_condes_norma%20dec.4675.pdf,descargadas,las_condes_norma%20dec.4675,las_condes_norma%20dec.4675.pdf,PDF,1067842,9090840e745176441ff4978bdbb7ac40c73111c2f31b9712348f94fc32f4c0d6,9,13644,8,1,0,MIXTO
Ordenanzas Descargadas\600-1200\las_condes_Ord.-Alc.-N14-357-del-24.8.23-a-SEREMI-MINVU.pdf,descargadas,las_condes_ord.-alc.-n14-357-del-24.8.23-a-seremi-minvu,las_condes_Ord.-Alc.-N14-357-del-24.8.23-a-SEREMI-MINVU.pdf,PDF,5426360,cd136eb594674058e61db301eda66cb088ecf0d65e860d4691ba4743cd74cf30,6,0,0,6,0,ESCANEADO
Ordenanzas ordenadas\las_condes_Ord.-Alc.-N14-357-del-24.8.23-a-SEREMI-MINVU.pdf,ordenadas,las_condes_ord.-alc.-n14-357-del-24.8.23-a-seremi-minvu,las_condes_Ord.-Alc.-N14-357-del-24.8.23-a-SEREMI-MINVU.pdf,PDF,5426360,cd136eb594674058e61db301eda66cb088ecf0d65e860d4691ba4743cd74cf30,6,0,0,6,0,ESCANEADO
Ordenanzas Descargadas\600-1200\las_condes_Ord.-Alc.-N14-57-del-30.1.24-a-SEREMI-MINVU-v2.pdf,descargadas,las_condes_ord.-alc.-n14-57-del-30.1.24-a-seremi-minvu-v2,las_condes_Ord.-Alc.-N14-57-del-30.1.24-a-SEREMI-MINVU-v2.pdf,PDF,8068352,607c20ddf2a1844ace3c9610be0ff99b85970ae91e55589df31a2d98a79706de,31,3215,2,29,0,MIXTO
Ordenanzas ordenadas\las_condes_Ord.-Alc.-N14-57-del-30.1.24-a-SEREMI-MINVU-v2.pdf,ordenadas,las_condes_ord.-alc.-n14-57-del-30.1.24-a-seremi-minvu-v2,las_condes_Ord.-Alc.-N14-57-del-30.1.24-a-SEREMI-MINVU-v2.pdf,PDF,8068352,607c20ddf2a1844ace3c9610be0ff99b85970ae91e55589df31a2d98a79706de,31,3215,2,29,0,MIXTO
Ordenanzas Descargadas\600-1200\las_condes_Ord.-SEREMI-N2099-del-2.8.23.pdf,descargadas,las_condes_ord.-seremi-n2099-del-2.8.23,las_condes_Ord.-SEREMI-N2099-del-2.8.23.pdf,PDF,773998,6a25fe116bf331fdd41fa22fbd033432efb11dcee647a924ad1282be538d0c96,15,43260,14,1,0,TEXTO
Ordenanzas ordenadas\OCR ok\las_condes_Ord.-SEREMI-N2099-del-2.8.23.pdf,ordenadas,las_condes_ord.-seremi-n2099-del-2.8.23,las_condes_Ord.-SEREMI-N2099-del-2.8.23.pdf,PDF,773998,6a25fe116bf331fdd41fa22fbd033432efb11dcee647a924ad1282be538d0c96,15,43260,14,1,0,TEXTO
Ordenanzas Descargadas\600-1200\las_condes_Ord.-SEREMI-N63-del-10.1.24.pdf,descargadas,las_condes_ord.-seremi-n63-del-10.1.24,las_condes_Ord.-SEREMI-N63-del-10.1.24.pdf,PDF,22256224,38a92ec55864a7b26e6be2e43a7aa205f8a688481e4a1853feb5c23d404337f9,26,0,0,26,0,ESCANEADO
Ordenanzas ordenadas\las_condes_Ord.-SEREMI-N63-del-10.1.24.pdf,ordenadas,las_condes_ord.-seremi-n63-del-10.1.24,las_condes_Ord.-SEREMI-N63-del-10.1.24.pdf,PDF,22256224,38a92ec55864a7b26e6be2e43a7aa205f8a688481e4a1853feb5c23d404337f9,26,0,0,26,0,ESCANEADO
Ordenanzas Descargadas\600-1200\las_condes_Ord.-SEREMI-N846-del-17.4.24.pdf,descargadas,las_condes_ord.-seremi-n846-del-17.4.24,las_condes_Ord.-SEREMI-N846-del-17.4.24.pdf,PDF,737321,9ec127576784522e4f7cf42b0d2a5e1be2a749258b0fd95f1a5452606cbcdc83,19,56191,18,1,0,TEXTO
Ordenanzas ordenadas\OCR ok\las_condes_Ord.-SEREMI-N846-del-17.4.24.pdf,ordenadas,las_condes_ord.-seremi-n846-del-17.4.24,las_condes_Ord.-SEREMI-N846-del-17.4.24.pdf,PDF,737321,9ec127576784522e4f7cf42b0d2a5e1be2a749258b0fd95f1a5452606cbcdc83,19,56191,18,1,0,TEXTO
Ordenanzas Descargadas\600-1200\las_condes_PADEM.2010.pdf,descargadas,las_condes_padem.2010,las_condes_PADEM.2010.pdf,PDF,12618726,85d2b0f25a8082a7e6a58c556f71bc4b522d9922c91ee7a22ea287d714a3c7fe,169,161714,126,11,32,TEXTO
Ordenanzas Descargadas\600-1200\las_condes_PL_lamina-01_PLANO-REGULADOR.pdf,descargadas,las_condes_pl_lamina-01,las_condes_PL_lamina-01_PLANO-REGULADOR.pdf,PDF,63897465,1f79303a2bc1d39bf7b11800b43397530f26688a8776a9ffca411a221d1e7111,1,0,0,1,0,ESCANEADO
Ordenanzas Descargadas\600-1200\las_condes_PL_lamina-02_PLANO-REGULADOR.pdf,descargadas,las_condes_pl_lamina-02,las_condes_PL_lamina-02_PLANO-REGULADOR.pdf,PDF,57878133,88b625faf74230a9edd79fdf177f8d79273e8d6696859382c2cce0e352e71d85,1,0,0,1,0,ESCANEADO
Ordenanzas Descargadas\600-1200\las_condes_PL_lamina-03_PLANO-REGULADOR.pdf,descargadas,las_condes_pl_lamina-03,las_condes_PL_lamina-03_PLANO-REGULADOR.pdf,PDF,45669940,cc84f4bb46bd6a09d7b9f95351471b5ce4b8a631b6734e4c2a3cb0ecc1b7e89e,1,0,0,1,0,ESCANEADO
Ordenanzas Descargadas\600-1200\las_condes_PLADECO_2014-2017.pdf,descargadas,las_condes_pladeco,las_condes_PLADECO_2014-2017.pdf,PDF,10126060,f17715b04308d83fed1b98a37b305977ec3c9c9f6368d8d2686af489bf5fda6c,110,161894,95,5,10,TEXTO
Ordenanzas Descargadas\600-1200\las_condes_PLADECO_2018-2021.pdf,descargadas,las_condes_pladeco,las_condes_PLADECO_2018-2021.pdf,PDF,13933439,b18e0e6fc94266c9708b8cbf4d1488963efaf44c4456c4ccdcf972ee0289baaf,127,170383,118,5,4,TEXTO
Ordenanzas Descargadas\600-1200\las_condes_SESION-EXTRAORD.-03-NOVIEMBRE-2021.pdf,descargadas,las_condes_sesion-extraord.-03-noviembre-2021,las_condes_SESION-EXTRAORD.-03-NOVIEMBRE-2021.pdf,PDF,228451,65abd832ce16253a99063b771aeea056a5778ab43d135243c87b86e50c095498,19,57799,19,0,0,TEXTO
Ordenanzas ordenadas\OCR ok\las_condes_SESION-EXTRAORD.-03-NOVIEMBRE-2021.pdf,ordenadas,las_condes_sesion-extraord.-03-noviembre-2021,las_condes_SESION-EXTRAORD.-03-NOVIEMBRE-2021.pdf,PDF,228451,65abd832ce16253a99063b771aeea056a5778ab43d135243c87b86e50c095498,19,57799,19,0,0,TEXTO
Ordenanzas Descargadas\600-1200\las_condes_Texto_Refundido_SEREMI_firmado.pdf,descargadas,las_condes_texto_refundido_seremi_firmado,las_condes_Texto_Refundido_SEREMI_firmado.pdf,PDF,953150,c472810707af9b3fb0b22442411ae05a2025a0ce32933852d3ccc9272e605070,96,230269,95,0,1,TEXTO
Ordenanzas ordenadas\OCR ok\las_condes_Texto_Refundido_SEREMI_firmado.pdf,ordenadas,las_condes_texto_refundido_seremi_firmado,las_condes_Texto_Refundido_SEREMI_firmado.pdf,PDF,953150,c472810707af9b3fb0b22442411ae05a2025a0ce32933852d3ccc9272e605070,96,230269,95,0,1,TEXTO
Ordenanzas Descargadas\600-1200\las_condes_Texto_Resolutivo_Mod_11_vf_corregida_firmado.pdf,descargadas,las_condes_texto_resolutivo_mod,las_condes_Texto_Resolutivo_Mod_11_vf_corregida_firmado.pdf,PDF,1071078,90e53060eb3b403d0e4c83ea0d52b08118ae9f87ced000a755638a284bf390a1,101,280191,100,0,1,TEXTO
Ordenanzas ordenadas\OCR ok\las_condes_Texto_Resolutivo_Mod_11_vf_corregida_firmado.pdf,ordenadas,las_condes_texto_resolutivo_mod,las_condes_Texto_Resolutivo_Mod_11_vf_corregida_firmado.pdf,PDF,1071078,90e53060eb3b403d0e4c83ea0d52b08118ae9f87ced000a755638a284bf390a1,101,280191,100,0,1,TEXTO
descargas\lautaro\busqueda_global\decreto_1266_instruye_dar_inicio_a_la_tramitacion_del_proyecto_enmienda_plan_reg__1266.pdf,descargas,lautaro,decreto_1266_instruye_dar_inicio_a_la_tramitacion_del_proyecto_enmienda_plan_reg__1266.pdf,PDF,53091,a54c3cb1294a1ca9949153aac39e7511d693d5ba44573c914f2fe9e10b00ed7e,2,0,0,2,0,ESCANEADO
descargas\lautaro\busqueda_global\decreto_3385_promulga_aprobacion_de_enmienda_al_plan_regulador_de_la_comuna_de_l__3385.pdf,descargas,lautaro,decreto_3385_promulga_aprobacion_de_enmienda_al_plan_regulador_de_la_comuna_de_l__3385.pdf,PDF,104486,494e92100ad163a8c1c4a062095c27be117fa103f8e63339921053fdfef84398,3,0,0,3,0,ESCANEADO
descargas\lautaro\busqueda_global\decreto_5515_autoriza_la_regularizacion_del_pago_de_los_servicios_por_concepto_d__5515.pdf,descargas,lautaro,decreto_5515_autoriza_la_regularizacion_del_pago_de_los_servicios_por_concepto_d__5515.pdf,PDF,80266,b85a93493335cfbeb23bbb21311b6960ff3346cb5a8c7eb06c7173048fe7cf34,2,0,0,2,0,ESCANEADO
Ordenanzas Descargadas\600-1200\lautaro_decreto_1266_instruye_dar_inicio_a_la_tramitacion_del_proyecto_enmienda_plan_reg__1266.pdf,descargadas,lautaro,lautaro_decreto_1266_instruye_dar_inicio_a_la_tramitacion_del_proyecto_enmienda_plan_reg__1266.pdf,PDF,53091,a54c3cb1294a1ca9949153aac39e7511d693d5ba44573c914f2fe9e10b00ed7e,2,0,0,2,0,ESCANEADO
Ordenanzas ordenadas\lautaro_decreto_1266_instruye_dar_inicio_a_la_tramitacion_del_proyecto_enmienda_plan_reg__1266.pdf,ordenadas,lautaro,lautaro_decreto_1266_instruye_dar_inicio_a_la_tramitacion_del_proyecto_enmienda_plan_reg__1266.pdf,PDF,53091,a54c3cb1294a1ca9949153aac39e7511d693d5ba44573c914f2fe9e10b00ed7e,2,0,0,2,0,ESCANEADO
Ordenanzas Descargadas\600-1200\lautaro_decreto_3385_promulga_aprobacion_de_enmienda_al_plan_regulador_de_la_comuna_de_l__3385.pdf,descargadas,lautaro,lautaro_decreto_3385_promulga_aprobacion_de_enmienda_al_plan_regulador_de_la_comuna_de_l__3385.pdf,PDF,104486,494e92100ad163a8c1c4a062095c27be117fa103f8e63339921053fdfef84398,3,0,0,3,0,ESCANEADO
Ordenanzas ordenadas\lautaro_decreto_3385_promulga_aprobacion_de_enmienda_al_plan_regulador_de_la_comuna_de_l__3385.pdf,ordenadas,lautaro,lautaro_decreto_3385_promulga_aprobacion_de_enmienda_al_plan_regulador_de_la_comuna_de_l__3385.pdf,PDF,104486,494e92100ad163a8c1c4a062095c27be117fa103f8e63339921053fdfef84398,3,0,0,3,0,ESCANEADO
Ordenanzas Descargadas\600-1200\lautaro_decreto_5515_autoriza_la_regularizacion_del_pago_de_los_servicios_por_concepto_d__5515.pdf,descargadas,lautaro,lautaro_decreto_5515_autoriza_la_regularizacion_del_pago_de_los_servicios_por_concepto_d__5515.pdf,PDF,80266,b85a93493335cfbeb23bbb21311b6960ff3346cb5a8c7eb06c7173048fe7cf34,2,0,0,2,0,ESCANEADO
descargas\lebu\diario_oficial\109_modificacion_del_plan_regulador_comunal_de_lebu__Exportar.pdf,descargas,lebu,109_modificacion_del_plan_regulador_comunal_de_lebu__Exportar.pdf,PDF,52115,eb436327ed354f1c7ca1cad2e879bae01fec17c420e4bf281df77816f25a038f,5,12986,5,0,0,TEXTO
descargas\lebu\diario_oficial\4614_aprueba_enmienda_al_plan_regulador_comunal_de_lebu___Exportar.pdf,descargas,lebu,4614_aprueba_enmienda_al_plan_regulador_comunal_de_lebu___Exportar.pdf,PDF,42235,66281ef436d81eab20bb820a0c991125c4b77c75cfff9c88f4b876a9afd0a7a3,2,4915,2,0,0,TEXTO
descargas\lebu\diario_oficial\6533_decreta_enmienda_n_1_plan_regulador_comunal_de_lebu___Exportar.pdf,descargas,lebu,6533_decreta_enmienda_n_1_plan_regulador_comunal_de_lebu___Exportar.pdf,PDF,42551,dad0da7f042b8c2481c554595e8a605a1cdf63264797de50f452c18f7ad6d574,2,3719,2,0,0,TEXTO
descargas\lebu\diario_oficial\6704_aprueba_enmienda_n_2_al_plan_regulador_comunal_de_lebu___Exportar.pdf,descargas,lebu,6704_aprueba_enmienda_n_2_al_plan_regulador_comunal_de_lebu___Exportar.pdf,PDF,205130,af8b516ebcb44030ac32c3c1306fb89b8e11f7f4a9199f19e5588271f19fac7c,2,2853,2,0,0,TEXTO
descargas\lebu\busqueda_global\estimados_junto_con_saludarlos_quiero_que_nos_envie_el_plan_regulador_de_la_comu__Plano%20Regulador%20Comunal.pdf,descargas,lebu,estimados_junto_con_saludarlos_quiero_que_nos_envie_el_plan_regulador_de_la_comu__Plano%20Regulador%20Comunal.pdf,PDF,1921308,32c9d206b21386e4d001f8202937d6ed3b46673be68641c98696f08ad39239d9,1,0,0,0,1,VACIO
Ordenanzas Descargadas\600-1200\lebu_109_modificacion_del_plan_regulador_comunal_de_lebu__Exportar.pdf,descargadas,lebu,lebu_109_modificacion_del_plan_regulador_comunal_de_lebu__Exportar.pdf,PDF,52115,eb436327ed354f1c7ca1cad2e879bae01fec17c420e4bf281df77816f25a038f,5,12986,5,0,0,TEXTO
Ordenanzas ordenadas\OCR ok\lebu_109_modificacion_del_plan_regulador_comunal_de_lebu__Exportar.pdf,ordenadas,lebu,lebu_109_modificacion_del_plan_regulador_comunal_de_lebu__Exportar.pdf,PDF,52115,eb436327ed354f1c7ca1cad2e879bae01fec17c420e4bf281df77816f25a038f,5,12986,5,0,0,TEXTO
Ordenanzas Descargadas\600-1200\lebu_4614_aprueba_enmienda_al_plan_regulador_comunal_de_lebu___Exportar.pdf,descargadas,lebu,lebu_4614_aprueba_enmienda_al_plan_regulador_comunal_de_lebu___Exportar.pdf,PDF,42235,66281ef436d81eab20bb820a0c991125c4b77c75cfff9c88f4b876a9afd0a7a3,2,4915,2,0,0,TEXTO
Ordenanzas ordenadas\OCR ok\lebu_4614_aprueba_enmienda_al_plan_regulador_comunal_de_lebu___Exportar.pdf,ordenadas,lebu,lebu_4614_aprueba_enmienda_al_plan_regulador_comunal_de_lebu___Exportar.pdf,PDF,42235,66281ef436d81eab20bb820a0c991125c4b77c75cfff9c88f4b876a9afd0a7a3,2,4915,2,0,0,TEXTO
Ordenanzas Descargadas\600-1200\lebu_6533_decreta_enmienda_n_1_plan_regulador_comunal_de_lebu___Exportar.pdf,descargadas,lebu,lebu_6533_decreta_enmienda_n_1_plan_regulador_comunal_de_lebu___Exportar.pdf,PDF,42551,dad0da7f042b8c2481c554595e8a605a1cdf63264797de50f452c18f7ad6d574,2,3719,2,0,0,TEXTO
Ordenanzas ordenadas\OCR ok\lebu_6533_decreta_enmienda_n_1_plan_regulador_comunal_de_lebu___Exportar.pdf,ordenadas,lebu,lebu_6533_decreta_enmienda_n_1_plan_regulador_comunal_de_lebu___Exportar.pdf,PDF,42551,dad0da7f042b8c2481c554595e8a605a1cdf63264797de50f452c18f7ad6d574,2,3719,2,0,0,TEXTO
Ordenanzas Descargadas\600-1200\lebu_6704_aprueba_enmienda_n_2_al_plan_regulador_comunal_de_lebu___Exportar.pdf,descargadas,lebu,lebu_6704_aprueba_enmienda_n_2_al_plan_regulador_comunal_de_lebu___Exportar.pdf,PDF,205130,af8b516ebcb44030ac32c3c1306fb89b8e11f7f4a9199f19e5588271f19fac7c,2,2853,2,0,0,TEXTO
Ordenanzas ordenadas\OCR ok\lebu_6704_aprueba_enmienda_n_2_al_plan_regulador_comunal_de_lebu___Exportar.pdf,ordenadas,lebu,lebu_6704_aprueba_enmienda_n_2_al_plan_regulador_comunal_de_lebu___Exportar.pdf,PDF,205130,af8b516ebcb44030ac32c3c1306fb89b8e11f7f4a9199f19e5588271f19fac7c,2,2853,2,0,0,TEXTO
Ordenanzas Descargadas\600-1200\lebu_estimados_junto_con_saludarlos_quiero_que_nos_envie_el_plan_regulador_de_la_comu__Plano%20Regulador%20Comunal.pdf,descargadas,lebu_estimados_junto_con_saludarlos_quiero_que_nos_envie_el,lebu_estimados_junto_con_saludarlos_quiero_que_nos_envie_el_plan_regulador_de_la_comu__Plano%20Regulador%20Comunal.pdf,PDF,1921308,32c9d206b21386e4d001f8202937d6ed3b46673be68641c98696f08ad39239d9,1,0,0,0,1,VACIO
descargas\limache\diario_oficial\44143_publica_promulgacionde_plan_regulador_comunal_de_limache__Promulgacion-Actualizacion-PRC-Limache-Diario-Oficial.pdf,descargas,limache,44143_publica_promulgacionde_plan_regulador_comunal_de_limache__Promulgacion-Actualizacion-PRC-Limache-Diario-Oficial.pdf,PDF,505640,f0b454511172b5d79a20df42b6ffb748675158457abfbd094697c55726d49c65,32,121350,32,0,0,TEXTO
