ruta,carpeta_origen,comuna,nombre,tipo_archivo,bytes,sha256,paginas,chars_total,paginas_texto,paginas_escaneadas,paginas_vacias,veredicto
Ordenanzas Descargadas\1-600\corral_decreto_exento_2651_aprueba_enmienda_n_1_del_plan_regulador_comunal_de_corral_se__707ddcc9-7670-41ce-b687-0a1fcf0caa6a.pdf,descargadas,corral,corral_decreto_exento_2651_aprueba_enmienda_n_1_del_plan_regulador_comunal_de_corral_se__707ddcc9-7670-41ce-b687-0a1fcf0caa6a.pdf,PDF,6343382,349f67e951fbf1247fbec97cf0593ad85d2e13f9798428aa1f70d203aebbcd66,13,0,0,13,0,ESCANEADO
descargas\corral\busqueda_global\decreto_exento_1094_inuicua_proceso_eae_plan_regulador_comunal_de_corral__2382367c-6b1a-4f2f-b6eb-e6c00ca7ff04.pdf,descargas,corral,decreto_exento_1094_inuicua_proceso_eae_plan_regulador_comunal_de_corral__2382367c-6b1a-4f2f-b6eb-e6c00ca7ff04.pdf,PDF,7163646,a18569666c482c5c7258e3bf535e15c8e2d14d68a3c55fc6952c6d52cad7139c,10,0,0,10,0,ESCANEADO
descargas\corral\busqueda_global\decreto_exento_1350_designa_como_contraparte_municipal_adecuacion_planes_regulad__490abd92-ca8d-44eb-9430-7e70dba725b0.pdf,descargas,corral,decreto_exento_1350_designa_como_contraparte_municipal_adecuacion_planes_regulad__490abd92-ca8d-44eb-9430-7e70dba725b0.pdf,PDF,794692,5061d14d4749e773ae093f0ae19eb5d367049e5905c26fdf856f01bb602797a1,1,0,0,1,0,ESCANEADO
descargas\corral\busqueda_global\decreto_exento_1566_aprueba_enmienda_n_2_del_plan_regulador_comunal_de_corral_se__b094ba72-9a89-42c5-be5d-15a8f07540d2.pdf,descargas,corral,decreto_exento_1566_aprueba_enmienda_n_2_del_plan_regulador_comunal_de_corral_se__b094ba72-9a89-42c5-be5d-15a8f07540d2.pdf,PDF,2418325,2dc4feebf7ba0a7ad1fc49d55adca741b82eede5c9ca12a0489c2cce21d60156,5,0,0,5,0,ESCANEADO
descargas\corral\busqueda_global\decreto_exento_1904_aprueba_contratacion_directa_profesional_asesor_a_secplan_pa__09ef6a75-3ca4-41ed-96b1-ae4abccc7cbd.pdf,descargas,corral,decreto_exento_1904_aprueba_contratacion_directa_profesional_asesor_a_secplan_pa__09ef6a75-3ca4-41ed-96b1-ae4abccc7cbd.pdf,PDF,102213,29f13ee78850e0207a9401308166982974a4c33537bdf00aa77e5ed4610c7d7c,1,0,0,1,0,ESCANEADO
descargas\corral\busqueda_global\decreto_exento_1994_designa_como_contraparte_tecnica_y_administrativa_adecuacion__0d7def4c-e080-464a-91e4-f29fa29e5b50.pdf,descargas,corral,decreto_exento_1994_designa_como_contraparte_tecnica_y_administrativa_adecuacion__0d7def4c-e080-464a-91e4-f29fa29e5b50.pdf,PDF,79666,e82230f93c6a3fb8e4bbf6ffc885eac178ebb6350dcb875add4e8efc3b9ea061,1,0,0,1,0,ESCANEADO
descargas\corral\busqueda_global\decreto_exento_2651_aprueba_enmienda_n_1_del_plan_regulador_comunal_de_corral_se__707ddcc9-7670-41ce-b687-0a1fcf0caa6a.pdf,descargas,corral,decreto_exento_2651_aprueba_enmienda_n_1_del_plan_regulador_comunal_de_corral_se__707ddcc9-7670-41ce-b687-0a1fcf0caa6a.pdf,PDF,6343382,349f67e951fbf1247fbec97cf0593ad85d2e13f9798428aa1f70d203aebbcd66,13,0,0,13,0,ESCANEADO
Ordenanzas Descargadas\1-600\coyhaique_decreto_modifica_plan_regulador_de_coyhaique__ORDENANZAN5MODIFPLANREGULADOR30101997.pdf,descargadas,coyhaique,coyhaique_decreto_modifica_plan_regulador_de_coyhaique__ORDENANZAN5MODIFPLANREGULADOR30101997.pdf,PDF,1681936,9df17c4c7c52fd007767eca68535fcb03edbcb1f2eb55cfae6241309e2ef001f,5,5795,5,0,0,TEXTO
Ordenanzas ordenadas\OCR ok\coyhaique_decreto_modifica_plan_regulador_de_coyhaique__ORDENANZAN5MODIFPLANREGULADOR30101997.pdf,ordenadas,coyhaique,coyhaique_decreto_modifica_plan_regulador_de_coyhaique__ORDENANZAN5MODIFPLANREGULADOR30101997.pdf,PDF,1681936,9df17c4c7c52fd007767eca68535fcb03edbcb1f2eb55cfae6241309e2ef001f,5,5795,5,0,0,TEXTO
descargas\coyhaique\ordenanzas_vigentes\decreto_modifica_plan_regulador_de_coyhaique__ORDENANZAN5MODIFPLANREGULADOR30101997.pdf,descargas,coyhaique,decreto_modifica_plan_regulador_de_coyhaique__ORDENANZAN5MODIFPLANREGULADOR30101997.pdf,PDF,1681936,9df17c4c7c52fd007767eca68535fcb03edbcb1f2eb55cfae6241309e2ef001f,5,5795,5,0,0,TEXTO
Ordenanzas ordenadas\CU04A6~1.PDF,ordenadas,cu04a6~1,CU04A6~1.PDF,PDF,5164489,f6003a4010d501dc1c144d9b63cec976fe679d85f3650c059b64f9a5df6636c8,9,0,0,9,0,ESCANEADO
