comuna,familia,ruta,carpeta_origen,nombre,bytes,paginas,paginas_texto,paginas_escaneadas,paginas_vacias,veredicto,copias,copias_distintas,rutas_copias
las_condes,sesion_extraord_03_noviembre_2021,Ordenanzas ordenadas\OCR ok\las_condes_SESION-EXTRAORD.-03-NOVIEMBRE-2021.pdf,ordenadas,las_condes_SESION-EXTRAORD.-03-NOVIEMBRE-2021.pdf,228451,19,19,0,0,TEXTO,3,1,Ordenanzas Descargadas\600-1200\las_condes_SESION-EXTRAORD.-03-NOVIEMBRE-2021.pdf | Ordenanzas ordenadas\OCR ok\las_condes_SESION-EXTRAORD.-03-NOVIEMBRE-2021.pdf | descargas\las_condes\proactiva_externa\SESION-EXTRAORD.-03-NOVIEMBRE-2021.pdf
las_condes,texto_refundido_seremi_firmado,Ordenanzas ordenadas\OCR ok\las_condes_Texto_Refundido_SEREMI_firmado.pdf,ordenadas,las_condes_Texto_Refundido_SEREMI_firmado.pdf,953150,96,95,0,1,TEXTO,3,1,Ordenanzas Descargadas\600-1200\las_condes_Texto_Refundido_SEREMI_firmado.pdf | Ordenanzas ordenadas\OCR ok\las_condes_Texto_Refundido_SEREMI_firmado.pdf | descargas\las_condes\proactiva_externa\Texto_Refundido_SEREMI_firmado.pdf
las_condes,texto_resolutivo_mod_11_vf_corregida_firmado,Ordenanzas ordenadas\OCR ok\las_condes_Texto_Resolutivo_Mod_11_vf_corregida_firmado.pdf,ordenadas,las_condes_Texto_Resolutivo_Mod_11_vf_corregida_firmado.pdf,1071078,101,100,0,1,TEXTO,3,1,Ordenanzas Descargadas\600-1200\las_condes_Texto_Resolutivo_Mod_11_vf_corregida_firmado.pdf | Ordenanzas ordenadas\OCR ok\las_condes_Texto_Resolutivo_Mod_11_vf_corregida_firmado.pdf | descargas\las_condes\proactiva_externa\Texto_Resolutivo_Mod_11_vf_corregida_firmado.pdf
lautaro,decreto_1266_instruye_dar_inicio_a_la_tramitacion_del_proyecto_enmienda_plan_reg,Ordenanzas ordenadas\lautaro_decreto_1266_instruye_dar_inicio_a_la_tramitacion_del_proyecto_enmienda_plan_reg__1266.pdf,ordenadas,lautaro_decreto_1266_instruye_dar_inicio_a_la_tramitacion_del_proyecto_enmienda_plan_reg__1266.pdf,53091,2,0,2,0,ESCANEADO,3,1,Ordenanzas Descargadas\600-1200\lautaro_decreto_1266_instruye_dar_inicio_a_la_tramitacion_del_proyecto_enmienda_plan_reg__1266.pdf | Ordenanzas ordenadas\lautaro_decreto_1266_instruye_dar_inicio_a_la_tramitacion_del_proyecto_enmienda_plan_reg__1266.pdf | descargas\lautaro\busqueda_global\decreto_1266_instruye_dar_inicio_a_la_tramitacion_del_proyecto_enmienda_plan_reg__1266.pdf
lautaro,decreto_3385_promulga_aprobacion_de_enmienda_al_plan_regulador_de_la_comuna_de_l,Ordenanzas ordenadas\lautaro_decreto_3385_promulga_aprobacion_de_enmienda_al_plan_regulador_de_la_comuna_de_l__3385.pdf,ordenadas,lautaro_decreto_3385_promulga_aprobacion_de_enmienda_al_plan_regulador_de_la_comuna_de_l__3385.pdf,104486,3,0,3,0,ESCANEADO,3,1,Ordenanzas Descargadas\600-1200\lautaro_decreto_3385_promulga_aprobacion_de_enmienda_al_plan_regulador_de_la_comuna_de_l__3385.pdf | Ordenanzas ordenadas\lautaro_decreto_3385_promulga_aprobacion_de_enmienda_al_plan_regulador_de_la_comuna_de_l__3385.pdf | descargas\lautaro\busqueda_global\decreto_3385_promulga_aprobacion_de_enmienda_al_plan_regulador_de_la_comuna_de_l__3385.pdf
lautaro,decreto_5515_autoriza_la_regularizacion_del_pago_de_los_servicios_por_concepto_d,Ordenanzas Descargadas\600-1200\lautaro_decreto_5515_autoriza_la_regularizacion_del_pago_de_los_servicios_por_concepto_d__5515.pdf,descargadas,lautaro_decreto_5515_autoriza_la_regularizacion_del_pago_de_los_servicios_por_concepto_d__5515.pdf,80266,2,0,2,0,ESCANEADO,2,1,Ordenanzas Descargadas\600-1200\lautaro_decreto_5515_autoriza_la_regularizacion_del_pago_de_los_servicios_por_concepto_d__5515.pdf | descargas\lautaro\busqueda_global\decreto_5515_autoriza_la_regularizacion_del_pago_de_los_servicios_por_concepto_d__5515.pdf
lebu,109_modificacion_del_plan_regulador_comunal_de_lebu,Ordenanzas ordenadas\OCR ok\lebu_109_modificacion_del_plan_regulador_comunal_de_lebu__Exportar.pdf,ordenadas,lebu_109_modificacion_del_plan_regulador_comunal_de_lebu__Exportar.pdf,52115,5,5,0,0,TEXTO,3,1,Ordenanzas Descargadas\600-1200\lebu_109_modificacion_del_plan_regulador_comunal_de_lebu__Exportar.pdf | Ordenanzas ordenadas\OCR ok\lebu_109_modificacion_del_plan_regulador_comunal_de_lebu__Exportar.pdf | descargas\lebu\diario_oficial\109_modificacion_del_plan_regulador_comunal_de_lebu__Exportar.pdf
lebu,4614_aprueba_enmienda_al_plan_regulador_comunal_de_lebu,Ordenanzas ordenadas\OCR ok\lebu_4614_aprueba_enmienda_al_plan_regulador_comunal_de_lebu___Exportar.pdf,ordenadas,lebu_4614_aprueba_enmienda_al_plan_regulador_comunal_de_lebu___Exportar.pdf,42235,2,2,0,0,TEXTO,3,1,Ordenanzas Descargadas\600-1200\lebu_4614_aprueba_enmienda_al_plan_regulador_comunal_de_lebu___Exportar.pdf | Ordenanzas ordenadas\OCR ok\lebu_4614_aprueba_enmienda_al_plan_regulador_comunal_de_lebu___Exportar.pdf | descargas\lebu\diario_oficial\4614_aprueba_enmienda_al_plan_regulador_comunal_de_lebu___Exportar.pdf
lebu,6533_decreta_enmienda_n_1_plan_regulador_comunal_de_lebu,Ordenanzas ordenadas\OCR ok\lebu_6533_decreta_enmienda_n_1_plan_regulador_comunal_de_lebu___Exportar.pdf,ordenadas,lebu_6533_decreta_enmienda_n_1_plan_regulador_comunal_de_lebu___Exportar.pdf,42551,2,2,0,0,TEXTO,3,1,Ordenanzas Descargadas\600-1200\lebu_6533_decreta_enmienda_n_1_plan_regulador_comunal_de_lebu___Exportar.pdf | Ordenanzas ordenadas\OCR ok\lebu_6533_decreta_enmienda_n_1_plan_regulador_comunal_de_lebu___Exportar.pdf | descargas\lebu\diario_oficial\6533_decreta_enmienda_n_1_plan_regulador_comunal_de_lebu___Exportar.pdf
lebu,6704_aprueba_enmienda_n_2_al_plan_regulador_comunal_de_lebu,Ordenanzas ordenadas\OCR ok\lebu_6704_aprueba_enmienda_n_2_al_plan_regulador_comunal_de_lebu___Exportar.pdf,ordenadas,lebu_6704_aprueba_enmienda_n_2_al_plan_regulador_comunal_de_lebu___Exportar.pdf,205130,2,2,0,0,TEXTO,3,1,Ordenanzas Descargadas\600-1200\lebu_6704_aprueba_enmienda_n_2_al_plan_regulador_comunal_de_lebu___Exportar.pdf | Ordenanzas ordenadas\OCR ok\lebu_6704_aprueba_enmienda_n_2_al_plan_regulador_comunal_de_lebu___Exportar.pdf | descargas\lebu\diario_oficial\6704_aprueba_enmienda_n_2_al_plan_regulador_comunal_de_lebu___Exportar.pdf
