comuna,documentos,utiles,escalados,recuperables,estado
teodoro_schmidt,0,0,0,0,SIN_NADA
tierra_amarilla,0,0,0,0,SIN_NADA
til_til,0,0,0,0,SIN_NADA
timaukel,0,0,0,0,SIN_NADA
tirua,1,1,0,0,CON_NORMA
tocopilla,4,1,0,0,CON_NORMA
tolten,3,3,0,0,CON_NORMA
tome,0,0,0,0,SIN_NADA
torres_del_paine,0,0,0,0,SIN_NADA
tortel,0,0,0,0,SIN_NADA
traiguen,0,0,0,0,SIN_NADA
treguaco,0,0,0,0,SIN_NADA
tucapel,6,0,0,0,SIN_NADA
valdivia,5,3,0,0,CON_NORMA
vallenar,2,1,0,0,CON_NORMA
valparaiso,4,4,0,0,CON_NORMA
vichuquen,0,0,0,0,SIN_NADA
victoria,0,0,0,0,SIN_NADA
vicuna,0,0,0,0,SIN_NADA
vilcun,1,0,0,0,SIN_NADA
villa_alegre,0,0,0,0,SIN_NADA
villa_alemana,4,2,0,0,CON_NORMA
villarrica,15,7,3,1,CON_NORMA
vina_del_mar,8,8,0,0,CON_NORMA
vitacura,13,13,0,0,CON_NORMA
yerbas_buenas,0,0,0,0,SIN_NADA
yumbel,1,1,0,0,CON_NORMA
yungay,1,1,0,0,CON_NORMA
zapallar,23,3,2,0,CON_NORMA
