comuna,es_comuna_oficial,documentos,con_texto,mixtos,escaneados,vacios_ilegibles,paginas_totales,paginas_a_ocr
san_rosendo,si,0,0,0,0,0,0,0
san_vicente,si,0,0,0,0,0,0,0
santa_barbara,si,0,0,0,0,0,0,0
santa_cruz,si,0,0,0,0,0,0,0
santa_juana,si,0,0,0,0,0,0,0
santa_maria,si,2,0,0,1,1,17,1
santiago,si,41,11,1,29,0,356,262
santo_domingo,si,1,1,0,0,0,54,0
sierra_gorda,si,3,1,1,1,0,102,21
talagante,si,4,2,1,1,0,93,44
talca,si,16,5,0,11,0,162,58
talcahuano,si,5,1,1,3,0,217,152
taltal,si,1,1,0,0,0,4,0
temuco,si,0,0,0,0,0,0,0
teno,si,1,0,1,0,0,34,13
teodoro_schmidt,si,0,0,0,0,0,0,0
tierra_amarilla,si,0,0,0,0,0,0,0
til_til,si,0,0,0,0,0,0,0
timaukel,si,0,0,0,0,0,0,0
tirua,si,1,1,0,0,0,3,0
tocopilla,si,4,2,0,2,0,6,3
tolten,si,3,3,0,0,0,38,0
tome,si,0,0,0,0,0,0,0
torres_del_paine,si,0,0,0,0,0,0,0
tortel,si,0,0,0,0,0,0,0
traiguen,si,0,0,0,0,0,0,0
treguaco,si,0,0,0,0,0,0,0
tucapel,si,6,0,0,6,0,6,6
valdivia,si,5,4,1,0,0,23,1
vallenar,si,2,2,0,0,0,3,0
valparaiso,si,4,3,0,1,0,188,65
vichuquen,si,0,0,0,0,0,0,0
victoria,si,0,0,0,0,0,0,0
vicuna,si,0,0,0,0,0,0,0
vilcun,si,1,0,0,1,0,1,1
villa_alegre,si,0,0,0,0,0,0,0
villa_alemana,si,4,1,0,3,0,22,19
villarrica,si,15,10,3,2,0,159,15
vina_del_mar,si,8,5,1,2,0,265,127
vitacura,si,13,13,0,0,0,142,0
yerbas_buenas,si,0,0,0,0,0,0,0
yumbel,si,1,1,0,0,0,15,0
yungay,si,1,1,0,0,0,2,0
zapallar,si,23,5,1,17,0,78,25
